id;worker_code;worker_name;worker_limit;is_active;rating;location_id
1;microchip salmon;Groves Representative;60852;true;34950;1
2;Steel;program;41798;false;8884;2
3;Kwacha Macedonia Executive;AI;72281;true;6766;3
4;hard drive Namibia Intelligent;indexing initiatives;14095;true;66418;4
5;olive Practical AI;payment Finland;6227;true;51250;5
6;cross-platform;Associate neural;49725;false;33977;6
7;GB;pricing structure input;51938;false;20488;7
8;SMTP;Pizza Enterprise-wide Division;56018;true;75072;8
9;Alaska Bahamas Practical;Product Hong Kong;49781;true;10547;9
10;withdrawal navigating;Licensed web services;19560;false;18672;10
